Image	Direction	Expression
gachagirl/Screenshot 2024-11-27 075419.png	m	 
gachagirl/Screenshot 2024-11-27 075627.png	m	 
gachagirl/Screenshot 2024-11-27 075645.png	m	 
gachagirl/Screenshot 2024-11-27 075702.png	m	 
gachagirl/Screenshot 2024-11-27 075724.png	m	 
gachagirl/Screenshot 2024-11-27 075802.png	m	 
gachagirl/Screenshot 2024-11-27 075822.png	m	 
gachagirl/Screenshot 2024-11-27 075838.png	m	 
gachagirl/Screenshot 2024-11-27 075847.png	m	 
gachagirl/Screenshot 2024-11-27 075854.png	m	 
gachagirl/Screenshot 2024-11-27 075905.png	m	 
gachagirl/Screenshot 2024-11-27 075926.png	m	 
gachagirl/Screenshot 2024-11-27 075939.png	m	 
gachagirl/Screenshot 2024-11-27 075952.png	m	 
gachagirl/Screenshot 2024-11-27 080008.png	m	 
gachagirl/Screenshot 2024-11-27 080124.png	m	 
gachagirl/Screenshot 2024-11-27 080133.png	m	 
gachagirl/Screenshot 2024-11-27 080150.png	m	 
gachagirl/Screenshot 2024-11-27 080210.png	m	 
gachagirl/Screenshot 2024-11-27 080235.png	m	 
gachagirl/Screenshot 2024-11-27 080249.png	m	 
gachagirl/Screenshot 2024-11-27 080258.png	m	 
gachagirl/Screenshot 2024-11-27 080314.png	m	 
gachagirl/Screenshot 2024-11-27 080322.png	m	 
gachagirl/Screenshot 2024-11-27 080332.png	m	 
gachagirl/Screenshot 2024-11-27 080340.png	m	 
gachagirl/Screenshot 2024-11-27 080357.png	m	 
gachagirl/Screenshot 2024-11-27 080408.png	m	 
gachagirl/Screenshot 2024-11-27 080416.png	m	 
gachagirl/Screenshot 2024-11-27 080426.png	m	 
gachagirl/Screenshot 2024-11-27 080437.png	m	 
gachagirl/Screenshot 2024-11-27 080449.png	m	 
gachagirl/Screenshot 2024-11-27 080457.png	m	 
gachagirl/Screenshot 2024-11-27 080506.png	m	 
gachagirl/Screenshot 2024-11-27 080516.png	m	 
gachagirl/Screenshot 2024-11-27 080524.png	m	 
gachagirl/Screenshot 2024-11-27 080538.png	m	 
gachagirl/Screenshot 2024-11-27 080548.png	m	 
gachagirl/Screenshot 2024-11-27 080601.png	m	 
